bookname,author,year,score,population,url,comment
没有人给他写信的上校,[哥伦比亚]加西亚·马尔克斯,2018,8.6,11555,https://book.douban.com/subject/30177172/,
围城,钱锺书,1991,9.0,452212,https://book.douban.com/subject/1008145/,
如果在冬夜，一个旅人,[意] 伊塔洛·卡尔维诺,2012,9.0,14774,https://book.douban.com/subject/10555535/,
二十一天,蔡骏,2024,8.2,74,https://book.douban.com/subject/36832095/,
一地鸡毛,刘震云,2011,8.5,7581,https://book.douban.com/subject/6793573/,
动物园,[日] 乙一,2016,8.1,35369,https://book.douban.com/subject/26723423/,
不存在的骑士,[意] 伊塔洛·卡尔维诺,2012,8.9,26931,https://book.douban.com/subject/6789551/,
我在北京送快递,胡安焉,2023,8.1,55600,https://book.douban.com/subject/36150423/,
看不见的城市,[意] 伊塔洛·卡尔维诺,2012,9.0,39174,https://book.douban.com/subject/10555509/,
世上最美的溺水者,[哥伦比亚] 加西亚·马尔克斯,2015,8.9,22318,https://book.douban.com/subject/26628811/,
当我们不再理解世界,[智利]本哈明·拉巴图特,2022,8.2,23231,https://book.douban.com/subject/36073906/,
焦虑的人,弗雷德里克·巴克曼,2021,8.4,18089,https://book.douban.com/subject/35539713/,
太古和其他的时间,[波兰] 奥尔加·托卡尔丘克,2017,8.9,16019,https://book.douban.com/subject/27132345/,
麦田里的守望者,[美国] J. D. 塞林格,2007,8.1,82194,https://book.douban.com/subject/2053249/,
漫长的告别,[美] 雷蒙德·钱德勒,2018,8.2,34797,https://book.douban.com/subject/30316475/,
人生复本,[美国] 布莱克·克劳奇,2017,7.8,12257,https://book.douban.com/subject/27125958/,
甲申前夜·大晦,刘鹤,2024,8.2,404,https://book.douban.com/subject/36897341/,
陆犯焉识,严歌苓,2011,8.9,58878,https://book.douban.com/subject/6880158/,
面纱,[英] 威廉·萨默塞特·毛姆,2016,9.0,43780,https://book.douban.com/subject/26757680/,
使女的故事,[加拿大] 玛格丽特·阿特伍德,2020,8.9,8470,https://book.douban.com/subject/35114057/,
挪威的森林,[日] 村上春树,2018,8.5,37295,https://book.douban.com/subject/27200257/,
白痴,[俄] 陀思妥耶夫斯基,2015,9.3,12819,https://book.douban.com/subject/25887933/,
无声告白,[美] 伍绮诗,2015,8.2,143605,https://book.douban.com/subject/26382433/,
关于女儿,[韩] 金惠珍,2022,8.3,11844,https://book.douban.com/subject/36035671/,
一桩事先张扬的凶杀案,[哥伦比亚]加西亚·马尔克斯,2018,8.8,3411,https://book.douban.com/subject/30177174/,
在小山和小山之间,李停,2023,8.2,8376,https://book.douban.com/subject/36388449/,
棋王,阿城,2019,9.1,24945,https://book.douban.com/subject/30330181/,
钟表馆事件,[日] 绫辻行人,2016,8.4,21418,https://book.douban.com/subject/26771719/,
仿生人会梦见电子羊吗?,[美] 菲利普·迪克,2024,8.6,486,https://book.douban.com/subject/36701790/,
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,2020,9.0,4766,https://book.douban.com/subject/35068894/,
月亮和六便士,[英] 毛姆,2006,9.0,215062,https://book.douban.com/subject/1858513/,
战争与和平,[俄] 托尔斯泰,2015,9.4,9496,https://book.douban.com/subject/25837845/,
天龙八部,金庸,1994,9.2,135480,https://book.douban.com/subject/1255625/,
无人生还,(英)阿加莎·克里斯蒂,2013,8.7,72311,https://book.douban.com/subject/24859822/,
百年孤独,[哥伦比亚] 加西亚·马尔克斯,2017,9.5,26117,https://book.douban.com/subject/27107109/,
十日终焉·囚笼,杀虫队队员,2023,8.0,2313,https://book.douban.com/subject/36573581/,
